mun,ano,rf_veiculo,rf,homicidio_doloso,lcd,estupro,id_municipio,pop,gm,gm_ano,tx_rf_veiculo,tx_rf,tx_homicidio_doloso,tx_lcd,tx_estupro,pre_treated,treat
Cotia,2001,1177,2,81,818,26,3513009,153070,1,1983,768.9292480564447,1.3065917554060233,52.91696609394395,534.3960279610636,16.985692820278306,1,0
Cravinhos,2001,15,480,6,228,0,3513108,29106,0,NA,51.535765821480105,1649.1445062873634,20.614306328592043,783.3436404864976,0,0,0
Cristais Paulista,2001,7,44,0,38,2,3513207,6675,0,NA,104.8689138576779,659.1760299625467,0,569.2883895131085,29.962546816479403,0,0
Cruzália,2001,1,26,0,6,0,3513306,2604,0,NA,38.40245775729647,998.4639016897081,0,230.4147465437788,0,0,0
Cruzeiro,2001,45,933,6,584,7,3513405,74062,1,2011,60.759903864329885,1259.7553401204398,8.101320515243984,788.5285301504146,9.451540601117982,0,0
Cubatão,2001,192,585,44,772,21,3513504,109963,0,NA,174.60418504406027,531.9971263061211,40.01345907259714,702.054327364659,19.097332739194094,0,0
Cunha,2001,4,118,0,102,4,3513603,23013,0,NA,17.38148003302481,512.7536609742319,0,443.22774084213273,17.38148003302481,0,0
Descalvado,2001,21,130,1,67,1,3513702,29368,0,NA,71.50640152546991,442.6586761100517,3.4050667393080905,228.13947153364208,3.4050667393080905,0,0
Diadema,2001,3,5,237,1,29,3513801,362663,1,1999,0.8272142457322639,1.378690409553773,65.34992541284885,0.2757380819107546,7.996404375411884,1,0
Dirce Reis,2001,0,6,0,9,0,3513850,1589,0,NA,0,377.5959723096287,0,566.393958464443,0,0,0
Divinolândia,2001,4,42,0,73,1,3513900,12041,0,NA,33.219832239847186,348.8082385183955,0,606.2619383772112,8.304958059961796,0,0
Dobrada,2001,1,13,2,7,1,3514007,7012,0,NA,14.261266400456359,185.3964632059327,28.522532800912717,99.82886480319453,14.261266400456359,0,0
Dois Córregos,2001,11,437,0,213,0,3514106,22773,0,NA,48.30281473674966,1918.9390945417822,0,935.3181399025162,0,0,0
Dolcinópolis,2001,0,4,0,12,1,3514205,2158,1,2004,0,185.35681186283597,0,556.0704355885078,46.33920296570899,0,0
Dourado,2001,3,30,1,19,0,3514304,8709,0,NA,34.44712366517396,344.47123665173956,11.482374555057985,218.16511654610176,0,0,0
Dracena,2001,12,440,3,350,3,3514403,40576,0,NA,29.574132492113566,1084.384858044164,7.393533123028392,862.5788643533123,7.393533123028392,0,0
Duartina,2001,5,82,0,52,1,3514502,12534,0,NA,39.89149513323759,654.2205201850966,0,414.87154938567096,7.978299026647519,0,0
Dumont,2001,10,30,0,21,0,3514601,6469,0,NA,154.5833977430824,463.7501932292472,0,324.62513526047303,0,0,0
Echaporã,2001,2,52,2,23,0,3514700,6870,0,NA,29.11208151382824,756.9141193595342,29.11208151382824,334.78893740902475,0,0,0
Eldorado,2001,2,109,0,114,5,3514809,14251,0,NA,14.034102869974038,764.858606413585,0,799.9438635885201,35.08525717493509,0,0
Elias Fausto,2001,27,153,4,98,1,3514908,14155,1,1983,190.74531967502648,1080.8901448251502,28.258565877781702,692.3348640056518,7.064641469445426,1,0
Elisiário,2001,0,16,0,15,1,3514924,2583,0,NA,0,619.4347657762291,0,580.7200929152149,38.71467286101432,0,0
Embaúba,2001,0,20,0,8,1,3514957,2487,1,1993,0,804.1817450743868,0,321.6726980297547,40.20908725371934,1,0
Embu-Guaçu,2001,326,852,34,158,9,3515103,59218,1,1995,550.5082913978857,1438.751730892634,57.41497517646662,266.81076699652135,15.198081664358808,1,0
Embu das Artes,2001,924,1638,197,491,31,3515004,213017,1,2002,433.7681969044724,768.952712694292,92.48088180755526,230.49803536806922,14.55282911692494,0,0
Emilianópolis,2001,1,6,0,17,0,3515129,2896,0,NA,34.53038674033149,207.18232044198894,0,587.0165745856353,0,0,0
Engenheiro Coelho,2001,31,106,0,43,0,3515152,10458,1,2012,296.423790399694,1013.5781220118569,0,411.1684834576401,0,0,0
Espírito Santo do Pinhal,2001,56,497,2,339,4,3515186,40807,1,2013,137.23135736515795,1217.9282966157766,4.901119905898497,830.7398240497954,9.802239811796994,0,0
Espírito Santo do Turvo,2001,1,15,0,25,0,3515194,3763,0,NA,26.574541589157587,398.6181238373638,0,664.3635397289397,0,0,0
Estiva Gerbi,2001,5,124,1,82,1,3557303,9127,1,1995,54.782513421715784,1358.6063328585515,10.956502684343159,898.433220116139,10.956502684343159,1,0
Estrela d'Oeste,2001,2,48,0,74,0,3515202,8231,0,NA,24.29838415745353,583.1612197788846,0,899.0402138257806,0,0,0
Estrela do Norte,2001,0,14,0,6,0,3515301,2609,0,NA,0,536.6040628593331,0,229.97316979685704,0,0,0
Euclides da Cunha Paulista,2001,3,117,0,65,1,3515350,10294,0,NA,29.143190207888093,1136.5844181076354,0,631.4357878375753,9.714396735962698,0,0
Fartura,2001,8,84,1,113,0,3515400,15090,0,NA,53.01524188204108,556.6600397614314,6.626905235255135,748.8402915838303,0,0,0
Fernando Prestes,2001,1,18,0,38,1,3515608,5456,0,NA,18.328445747800586,329.9120234604106,0,696.4809384164223,18.328445747800586,0,0
Fernandópolis,2001,24,719,2,375,7,3515509,62296,0,NA,38.525748041607805,1154.1672017465007,3.2104790034673174,601.964813150122,11.236676512135611,0,0
Fernão,2001,0,4,0,4,0,3515657,1398,0,NA,0,286.1230329041488,0,286.1230329041488,0,0,0
Ferraz de Vasconcelos,2001,471,1466,51,374,12,3515707,147966,1,1988,318.31636997688656,990.7681494397361,34.467377640809374,252.76076936593543,8.109971209602206,1,0
Flora Rica,2001,0,2,0,8,0,3515806,2153,0,NA,0,92.89363678588016,0,371.57454714352065,0,0,0
Floreal,2001,0,13,0,21,0,3515905,3183,0,NA,0,408.4197298146403,0,659.7549481621112,0,0,0
Flórida Paulista,2001,1,30,2,83,0,3516002,10911,0,NA,9.165062780680048,274.95188342040143,18.330125561360095,760.7002107964439,0,0,0
Florínia,2001,1,19,0,26,0,3516101,3143,0,NA,31.81673560292714,604.5179764556157,0,827.2351256761056,0,0,0
Franca,2001,234,462,24,2,15,3516200,294067,1,1987,79.57370259158627,157.10705383467032,8.161405394008849,0.680117116167404,5.10087837125553,1,0
Francisco Morato,2001,70,1289,63,525,31,3516309,139309,0,NA,50.24800981989677,925.2812093978135,45.2232088379071,376.8600736492258,22.252690063097145,0,0
